id,제품명,제품회사,분류,성분,효능,용법,저장방법
319,박트리안연고(무피로신),태극제약(주),20030121, 무피로신,"1) 농가진, 모낭염, 종기증, 감염성 습진과 같은 세균성 피부 감염증",감염부위를 1일 23회 10일간 소량을 바른다. 필요한 경우 바른 부위를 드레싱하거나 밀봉할 수 있다.,"기밀용기,실온(1~30℃)보관"
320,프레나정(메틸프레드니솔론),태극제약(주),전문의약품, 메틸프레드니솔론,"급성진행 또는 악화를 방지하기 위한 단기투여용 보조요법으로서 다음의 질환 : 외상 후 골관절염, 골관절염의 활막염, 연소성 류마티스양 관절염을 포함하는 류마티스양 관절염(경우에 따라서는 저용량 유지요법이 필요할 수도 있음), 급성 및 아급성 점액낭염, 상과염, 급성 비특이성 건초염, 급성 통풍성 관절염, 건선성 관절염, 강직성 척추염","1. 초기 복용량은 특정 질병의 증상에 따라 메칠프레드니솔론으로서 1일 4mg에서 48mg까지 다양할 수 있다. 일반적으로 심하지 않은 상태에서는 저용량으로 충분하나, 특별한 환자에서는 초기 고용량이 요구될 수도 있다. 초기 용량은 만족스러운 반응이 얻어질 때까지 유지되거나 조정되어야만 한다. 만약 합당한 기간 후에도 만족스러운 임상 결과가 없다면 투여를 중지하고 다른 적절한 치료로 전환하여야 한다. 용량은 치료하는 다양한 질병과 환자의 반응성에 따라 개별적으로 정하는 것이 필요하다. 적정반응이 나타난 후에는 적절한 임상반응을 유지할 수 있는 최소 용량이 될 때까지 알맞은 간격으로 초기용량을 감소시킴으로써 적절한 유지용량을 결정해야 한다. 용량에 관해서는 지속적인 모니터링이 요구된다. 질병의 경감이나 악화, 환자 개개인의 약물 반응성, 치료하는 질병의 증상과 직접적인 영향이 없는 스트레스를 가하는 환경에 노출되었을 때의 환자에 대한 영향이 있는 경우는 용량조절이 필요할 수 있는 상황에 포함된다. 후자의 경우에 있어서 환자의 상태에 만족스러울 만큼의 기간동안 용량을 증가할 필요가 있을 수 있다.장기간 치료 후 약물의 중지시 천천히 감소하는 것이 요망된다.2. 다발성 경화증(Multiple sclerosis)다발성 경화증의 급성 악화의 치료는 1주일간 프레드니솔론 200mg을 매일 투여한 후 1달 동안 격일로 프레드니솔론 80mg을 투여하는 것이 효과적이다 (메칠프레드니솔론 4mg은 프레드니솔론 5mg과 같다).3. ADT(Alternate Day Therapy :격일치료)격일치료란 이틀 중 하루아침에 1일 용량의 2배를 투여하는 용법이다. 이 용법의 목적은 장기간 약물투여가 요구되는 환자에게 코르티코이드의 효과를 증대시키고, 뇌하수체부신의 억제, 쿠싱양 상태(Cushingoid state), 코르티코이드 금단 증상과 소아의 성장 억제 등 부작용을 최소화하는데 있다. 이러한 치료계획의 이론은 다음 2가지 중요한 전제에 기초한다.1) 코르티코이드의 항염증 효과와 치료 효과가 물리적인 존재와 대사효과보다 더욱 지속되고2) 격일로 아침에 코르티코이드를 복용하는 것이 코르티코이드를 투여하지 않은 날 거의 정상적인 시상하부뇌하수체부신(Hypothalamuspituitaryadrenal : HPA)활성의 재형성을 가져온다. HPA 생리에 대한 간단한 요약은 이러한 이론적 해석의 이해를 도와줄 수 있다. 유리 코르티솔은 주로 시상하부를 통해 작용하므로 유리 코르티솔의 감소는 뇌하수체를 자극하여 부신피질자극호르몬(ACTH)의 생산을 증가시키는 반면, 유리 코르티솔의 상승은 ACTH분비를 억제한다. 정상적으로 HPA계는 24시간동안 활동리듬으로 특정 지워진다. ACTH의 혈청치는 오후 10시의 낮은 수준에서 오전 6시에 최고 수준으로 증가한다. ACTH의 증가 수준은 부신피질 활성을 자극하여 오전 28시 사이에 혈장 코르티솔을 최고로 증가시키게 한다. 코르티솔의 이런 증가는 ACTH 생성을 감소시키고 따라서 부신피질합성도 저하시킨다. 이것은 하루동안에 혈장 코르티코이드를 점차로 저하시켜 한밤중에는 최소수준으로 저하된다. HPA의 24시간 리듬축이 쿠싱질환(Cushings disease)에서는 없어지는데, 이 질환은 구심성의 지방분포를 가진 비만, 쉽게 멍이 드는 얇은 피부, 약하고 근육이 줄어들고, 고혈압, 잠재성의 당뇨병, 골다공증, 전해질 불균형 등으로 특정 지워지는 부신피질 과기능증의 증상이다. 같은 부신피질기능항진증(Hyperadrenocorticoism)의 임상증상이 전형적으로 하루에 나누어 투여하는 장기 약물 코르티코이드 요법 동안에 나타날 수 있다. 그것이 나타났다면 밤 동안의 상승된 코르티코이드치의 유지로 인한 주간 리듬의 혼란이 코르티코이드의 부작용 발현에 중요한 역할을 할 것 같다.짧은 기간동안이라도 지속적으로 상승된 혈장 농도로부터 벗어나는 것은 부작용을 방지하는데 있어 도움이 될 수 있다. 전형적인 약물학적 용량의 코르티코이드 요법동안, 부신 피질에 의한 코르티솔의 생성 억제와 함께 ACTH 생성도 억제된다. 정상적인 HPA활성으로의 회복시간은 용량과 치료기간에 따라 다양하다. 이 기간동안 환자는 어떠한 스트레스가 있는 환경에도 민감하다. 아침 1회복용이 프레드니솔론(10mg)을 하루 4회에 나누어 매 6시간마다 복용하는 것보다는 상당히 적은 부신 억제를 나타낸다고 할 지라도, 약물학적인 용량을 사용했을 경우 부신활성에 약간의 억제효과가 그 다음날까지 계속된다고 하는 증거가 있다. 게다가 어떠한 코르티코이드의 단 회 투여는 2일 또는 그 이상까지도 부신 피질의 억제가 보여진다. 메칠프레드니솔론, 히드로코르티손, 프레드니손, 프레드니솔론을 포함하는 다른 코르티코이드는 단기간 작용(1회 투여로 1¼에서 1½일 동안 부신피질억제가 나타남)으로 간주되어지고 따라서 격일치료가 요망된다.다음의 사항들은 격일 치료를 할 때 염두에 두어야만 한다.1) 코르티코이드의 요법에 있어 기본적인 원칙과 적응증을 적용시켜야 한다. ADT의 장점이 코르티코이드의 무분별한 사용을 부추겨서는 안된다.2) ADT는 장기 약물 코르티코이드 치료를 요망하는 환자에게 기본적으로 계획되어야만 하는 치료기술이다.3) 코르티코이드 요법의 적응증을 갖는 덜 심각한 질병에 있어서는 ADT가 초기에 사용될 수도 있다. 더욱 심각한 질환에서는 질병진행의 초기 조절을 위해 고용량을 하루에 나누어 투여하는 요법이 보통 요구되어 질 것이다. 초기 억제 용량치는 만족할 만한 임상반응을 얻을 때까지 계속되어야만 하는데 보통 많은 알레르기 및 교원성 질환에 있어 4일에서 10일 동안이다.특히 격일 요법의 지속적인 사용을 의도한다면, 가능한 한 짧은 기간동안의 초기 억제 용량기간을 지키는 것이 중요하다. 일단 통제가 이루어지면, 두 가지 경우가 가능하다.① ADT로 전환하고 격일에 주어지는 코르티코이드의 양을 점진적으로 줄여간다.② 질병 진행의 조절에 따라 가능한 한 빨리 최소 효과값으로 코르티코이드의 1일 용량을 감소시키고 난 후 격일 일정으로 변화시킨다. 이론적으로 ①과정이 더욱 바람직하다.4) ADT의 장점 때문에 오랜 기간 동안 매일 코르티코이드를 복용해온 환자에게 이러한 형태의 치료는 바람직하다(예를 들어 류마티스양 관절염). 이러한 환자는 이미 HPA축이 억제되어 있을 수 있으므로 ADT요법을 확립한다는 것이 어려울 수도 있고 항상 성공적인 것은 아니다. 그러나, 변경하려는 규칙적인 시도는 추천된다. 만약 어려움이 있다면 단지 매일 용량의 2배를 하는 것보다는 격일에 3배 심지어 4배로 투여하는 것이 바람직하다. 다시 환자가 통제가 되면, 이러한 용량을 최저로 감소하는 시도를 한다.5) 위에서 언급했듯이 어떠한 코르티코이드는 부신기능을 오랫동안 억제하기 때문에 격일 요법으로 추천되지 않는다 (예를 들어 덱사메타손, 베타메타손).6) 부신 피질의 최대 활성은 아침 2시에서 8시까지, 최저는 오후 4시에서 자정까지이다. 최대 활성의 시간대에 투여되었을 때(오전), 외인성 코르티코이드는 부신피질 활성을 가장 적게 억제한다.7) ADT사용에 있어서, 모든 치료환경에서처럼, 각 환자에게 있어 개인화 되고 적절한 치료를 하는 것이 중요하다. 모든 환자에게 있어 증상의 완전한 통제는 불가능하다. ADT의 장점에 대한 설명은 환자에게 코르티코이드제를 투여하지 않은 날의 후반기에 나타날 수 있는 불안정한 증상을 이해하고 참아내는 데 도움을 줄 것이다. 만약 필요하다면 이 기간 동안 다른 증상 치료를 부가시키거나 증가시킬 수 있다.8) 질병진행중 급성악화가 나타난다면 조절을 위하여 코르티코이드 용량을 하루에 나누어 완전히 억제하는 용량으로 돌아가는 것이 필요할 수도 있다. 일단 조절이 된 후에는 성립된 격일 요법으로 재시도할 수 있다.9) 많은 코르티코이드 요법의 부작용들이 ADT로서 최소화될 수 있다고 할지라도, 모든 치료환경에서 그러하듯이 의사는 코르티코이드 치료가 생각되는 각 환자에 있어 치료 이익성과 위험성의 비율을 신중히 고려해야만 한다.",DUR성분(성분1/성분2..병용성분)메틸프레드니솔론스파플록사신
321,크리니아연고(부펙사막),태극제약(주),20030303, 부펙사막,"＊아토피성피부염, 급성습진, 접촉피부염, 일광피부염, 대상포진, 피부염ㆍ입주위 피부염",＊1일 1회 내지 수회 적당량을 환부에 바른다,"기밀용기, 실온(1~30℃)보관"
322,무라졸크림(테르비나핀염산염),태극제약(주),20030414, 테르비나핀염산염,지간형(발가락사이) 족부백선 : 1일 2회 1주,"1일 1 ∼ 2회 환부(질환부위)에 바른다.질환에 따른 치료기간은 다음과 같다.1. 족부백선 : 1일 1회, 1주지간형(발가락사이) 족부백선 : 1일 2회 1주족저형(발바닥) 족부백선 : 1일 2회, 2주2. 체부백선, 고부백선 : 1 ∼ 2주3. 피부칸디다증 : 1 ∼ 2주4. 어루러기 : 2주치료기간 이후에도 임상적인 증상이 개선되지 않으면 진단을 다시 해야 한다.","기밀용기, 실온(1~30℃)보관"
323,데라파손겔0.05%(데속시메타손),태극제약(주),20030414, 데속시메타손,"다음의 코르티코이드 반응성 피부질환 : 접촉피부염, 화폐상피부염, 만성단순태선(신경피부염), 원형홍반성루푸스, 아토피피부염, 지루피부염, 건선, 벌레물린데, 한포진, 양진, 간찰진",ㆍ1일 13회 적당량을 환부에 바른다. 증상이 완화되면 감량한다.,DUR성분(성분1/성분2..병용성분)데속시메타손
324,룩에프연질캡슐,태극제약(주),20030417," 염산피리독신, N아세틸엘아스파라긴산, 바키늄미르틸루스엑스, 엘시트룰린, 초산레티놀, 초산토코페롤","고도근시, 야맹증, 안정피로, 중심 및 주변 망막변성에 의한 약시, 시력감퇴","1일 3회, 1회 1캡슐씩 복용",DUR성분(성분1/성분2..병용성분)레티놀
325,파티마크림10%(가수과산화벤조일)(수출명:AcneTreatmentCream),태극제약(주),20030422, 가수과산화벤조일,심상성여드름(보통여드름),"(로오숀제)(겔제)치료반응과 환자의 내약성에 따라 용량을 조절한다.환부를 깨끗이 씻어내고 이 약을 보통 1일 12회 가볍게 두드리면서 바른다.치료를 시작할 때에는 1일 1회(취침전) 바르고, 환자의 적응 여부를 검사하여 적응이 잘 되면 1일 2회(아침, 저녁)로 증가시킨다.(크림제)환부를 깨끗이 씻어내고 첫 1주 동안에는 1일 1회 바르고, 그 후 2회로 증가시킨다.","기밀용기,실온(1~30℃)보관"
326,"태극바시트라신연고(수출명: Bacitracin Ointment, Bacitracin Plus Ointment)",태극제약(주),20030422, 바시트라신,환부를 깨끗이 한 후 1일 1 ～ 3회 적당량을 환부에 바르고 필요에 따라 멸균거즈를 덮는다.,환부를 깨끗이 한 후 1일 1 ～ 3회 적당량을 환부에 바르고 필요에 따라 멸균거즈를 덮는다.,"기밀용기, 실온(130℃)보관"
327,"하이로손크림(히드로코르티손)(수출명:Hydrocortisone1%CreamMaxStrength,HydrocortisoneCream)",태극제약(주),20030422, 히드로코르티손,"습진ㆍ피부염군, 피부가려움, 벌레물린데",(연고제)(크림제)1일 13회 적당량을 환부에 바르고 증상에 따라 적절히 증감한다.(로오숀제)사용전 잘 흔들어 섞은 후 1일 13회 적당량을 환부에 바르고 증상에 따라 적절히 증감한다.(에어로솔제)성인 및 2세 이상의 소아 : 사용전 잘 흔들어 섞은 후 1일 12회 적당량을 환부에 분무한다.,DUR성분(성분1/성분2..병용성분)히드로코르티손스파플록사신
328,하이로손로션(히드로코르티손),태극제약(주),20030422, 히드로코르티손,(연고제)(크림제)(로오숀제),(연고제)(크림제)1일 13회 적당량을 환부에 바르고 증상에 따라 적절히 증감한다.(로오숀제)사용전 잘 흔들어 섞은 후 1일 13회 적당량을 환부에 바르고 증상에 따라 적절히 증감한다.(에어로솔제)성인 및 2세 이상의 소아 : 사용전 잘 흔들어 섞은 후 1일 12회 적당량을 환부에 분무한다.,DUR성분(성분1/성분2..병용성분)히드로코르티손스파플록사신
329,무라졸외용액(테르비나핀염산염),태극제약(주),20030602, 테르비나핀염산염,증상의 경감은 보통 23일 이내에 나타난다. 감염 재발을 방지하려면 이 약으로 적정기간 동안 정기적으로 치료한다.,"(액제)적응증에 따라 1일 1회 또는 2회 적용한다. 적용전에 환부를 깨끗이 씻고, 완전히 건조시킨 후 환부와 그 주위가 충분히 적셔지도록 충분한 양을 바른다.·치료기간 :1. 족부백선, 고부백선(완선), 체부백선 : 1일 1회, 1주2. 어루러기 : 1일 2회, 1주증상의 경감은 보통 23일 이내에 나타난다. 감염 재발을 방지하려면 이 약으로 적정기간 동안 정기적으로 치료한다.치료기간 이후에도 임상적인 증상이 개선되지 않으면 진단을 다시 해야 한다.(크림제)1일 12회 환부에 바른다.질환에 따른 치료기간은 다음과 같다.1. 족부백선 : 14주지간형 족부백선 : 1일 2회 1주2. 체부백선, 고부백선(완선) : 12주3. 피부칸디다증 : 12주4. 어루러기 : 2주치료기간 이후에도 임상적인 증상이 개선되지 않으면 진단을 다시 해야 한다.","기밀용기, 실온보관(130℃)보관"
330,"이클린케어겔20%(아미노벤조산에틸)(수출명:오랄아날게직겔,맥시멈스트랭스오랄아날게직겔))",태극제약(주),20030701, 아미노벤조산에틸,(겔제),(겔제)* 20%치과영역 : 적당량을 마취하고자 하는 부위에 도포한다.,"기밀용기, 실온보관(1~30℃)보관"
331,이클린케어겔7.5%(아미노벤조산에틸)(수출용),태극제약(주),20030701, 아미노벤조산에틸,(겔제),"(겔제)* 7.5%손을 깨끗이 한 후 튜브 입구 부분의 표시된 절단선을 따라 자른 후, 손가락이나 면봉에 적량을 덜어 잇몸 주위에 바른다.1일 4회를 넘기지 않는다.","기밀용기, 실온(1~30℃)보관"
332,징코빌엑스캡슐,태극제약(주),20030704," 은행엽엑스, 인삼엑스","뇌기능 및 집중력장애, 기억장애, 동맥경화 장애(어지러움등), 건망증, 정서불안정","1회 1캅셀, 1일 2회 복용(아침 및 점심식사 후 1캅슐씩 복용)하되 최소한 4주 이상 투여한다. 당뇨병 환자도 투여할 수 있다.","기밀용기, 상온(15~25℃)보관"
333,모아트론연질캡슐(빌베리건조엑스),태극제약(주),일반의약품, 빌베리건조엑스,빌베리건조엑스로서 1회 170 mg을 1일 2 ～ 3회 식후에 복용한다.,빌베리건조엑스로서 1회 170 mg을 1일 2 ～ 3회 식후에 복용한다.,"기밀용기, 실온(1~30℃)보관"
334,"파라쿨크림(수출명:FamilyCarePainRelievingMuscleRubCream,MuscleRubCream)",태극제약(주),20030725," 살리실산메틸, L멘톨, dl캄파","다음 증상의 진통, 소염 : 삠, 타박상, 근육통, 관절통, 골절통, 요통, 어깨결림, 신경통, 류마티스 통증, 피부가려움, 벌레물린데, 동창",1일 1~수회 환부에 적당히 바른다.,"기밀용기, 실온보관(1~30℃)보관"
335,엘린크림(클로트리마졸)(수출명:ClotrimazoleAntifungalcreamUSP1%),태극제약(주),20030926, 클로트리마졸,"예: 백선, 어루러기, 피부칸디다증, 칸디다성 외음염 및 칸디다성 귀두염",1일 1~3회 환부(질환부위)에 얇게 바르고 문지른다.치료기간은 질환의 정도와 위치에 따라 다르다. 일반적으로 다음과 같다. 피부진균병  3~4 주  어루러기  1~3 주  홍색음선  2~4 주  칸디다성 외음염 및 칸디다성 귀두염  1~2 주 완전한 치료효과를 얻기 위해서 충분한 기간동안 규칙적으로 사용한다. 진균학적으로 완치되지 않은 경우에는 모든 증상이 사라진 뒤에도 일반적으로 약 2주간 치료를 계속한다.치료기간 이후에도 임상적인 증상이 개선되지 않으면 진단을 다시 해야 한다.,"기밀용기, 실온보관(130℃)보관"
336,라벨리아크림(모메타손푸로에이트),태극제약(주),20030930, 모메타손푸로에이트,코르티코이드에 반응하는 피부질환의 가려움 및 염증의 완화,1일 1회 환부에 얇게 바르고 완전히 스며들 때까지 가볍게 문지른다.밀봉붕대법은 삼가한다.,DUR성분(성분1/성분2..병용성분)모메타손
337,라벨리아연고(모메타손푸로에이트),태극제약(주),20030930, 모메타손푸로에이트,코르티코이드에 반응하는 피부질환의 가려움 및 염증의 완화,1일 1회 환부에 얇게 바르고 완전히 스며들 때까지 가볍게 문지른다.밀봉붕대법은 삼가한다.,DUR성분(성분1/성분2..병용성분)모메타손
338,엘린플러스크림,태극제약(주),20031106," 히드로코르티손, 클로트리마졸","염증, 가려움 및 습진 등의 임상증상을 수반하는 피부 진균증 :"," 1일 1～2회(아침 또는 아침, 저녁) 적당량을 환부에 바른다. 급성증상이 없어진 다음에는 코르티코스테로이드가 없는 약물을 사용한다. 특히 유소아의 경우 장기간 넓은 부위에 사용하는 것을 피한다. ","기밀용기, 실온보관(1~30℃)"
339,펜타우드연질캡슐(덱시부프로펜),콜마파마(주),일반의약품, 덱시부프로펜," 성인: 덱시부프로펜으로서 1회 300 mg을 1일 2～4회 경구투여한다. 단, 1일 덱시부프로펜으로서 1,200 mg을 초과하지 않는다."," 성인: 덱시부프로펜으로서 1회 300 mg을 1일 2～4회 경구투여한다. 단, 1일 덱시부프로펜으로서 1,200 mg을 초과하지 않는다.","기밀용기, 실온(1∼30℃)보관"
340,"진타린연질캡슐(수출명:GINTARIN,GOBISAL)",콜마파마(주),20030417," 티아민질산염, 인삼30%에탄올엑스, 우르소데옥시콜산, 타우린, 이노시톨","육체피로 개선, 자양강장, 병중·병후의 비타민 B1 보급","15세 이상 어린이 및 성인 : 1회 1캡슐(정), 1일 2회 복용한다.",DUR성분(성분1/성분2..병용성분)대두유
341,세크런캡슐(세파클러수화물)(수출명:Bocefac),콜마파마(주),(주)경보제약, 세파클러수화물,"폐렴연쇄구균, 인플루엔자균, 포도구균, 스트렙토콕쿠스 피오게네스(그룹A베타용혈성), 대장균, 프로테우스 미라빌리스, 클레브시엘라, 임균"," 성인 : 세파클러수화물로서 1회 250mg(역가)을 8시간마다 경구 투여한다. 중증감염증(폐렴 등)과 감수성이 낮은 감염증의 경우 2배로 증량 투여할 수 있다. 급성 임균성 요도염의 경우 이 약 3g과 프로베네시드 1g을 단회 병용 투약한다. 소아 : 1일 체중 Kg당 20mg(역가)을 8시간마다 분할 투여한다. 중증감염증, 중이염 및 감수성이 낮은 감염의 경우에는 1일 체중 Kg당 40mg(역가)을 투여할 수 있으며 최대용량은 1일 1g(역가)이다. 신기능 손상 환자 : 용량 변화 없이 투여할 수 있다.베타용혈성 연쇄구균감염의 치료는 적어도 10일간 투여해야 한다.","차광기밀용기, 실온(1～30℃)보관"
342,네오폴질연질캡슐,콜마파마(주),전문의약품," 니스타틴, 네오마이신황산염, 폴리믹신B황산염",질칸디다증 및 비특이성 세균성질염의 국소 치료,성인 : 1일 1캡슐을 12일간 저녁에 사용한다.,"기밀용기, 25℃ 이하 보관"
343,페가민캡슐(페노베린),콜마파마(주),20031124, 페노베린,"성인 : 페노베린으로서 1회 100㎎ 1일 3회 식간에 경구투여한다. 환자의 상태에 따라 의사, 약사의 지시하에 1회 200㎎까지 증량할 수 있다.","성인 : 페노베린으로서 1회 100㎎ 1일 3회 식간에 경구투여한다. 환자의 상태에 따라 의사, 약사의 지시하에 1회 200㎎까지 증량할 수 있다.연령, 증상에 따라 적절히 증감한다.","기밀용기, 실온(1∼30℃)보관"
344,복합파모시드정,한국콜마(주),일반의약품," 파모티딘, 수산화마그네슘, 침강탄산칼슘",위산과다 및 속쓰림과 관련된 가슴앓이의 경감,성인 및 15세 이상의 환자 : 이약 1정을 씹어서 복용한다. 24시간 안에 2정 이상을 복용하지 마십시요,DUR성분(성분1/성분2..병용성분)유당
345,마토벤생캡슐,콜마파마(주),일반의약품," 우황, 티아민질산염, 리보플라빈, 카페인무수물, 아세트아미노펜, 클로르페니라민말레산염, 세라티오펩티다제, 제피아스코르브산, dl메틸에페드린염산염, 길경엑스산(10→1), 감초엑스산(5→1), 클로페라스틴염산염","감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화",1일 3회 식후 30분에 복용한다.성인(만15세이상): 1회 2캡슐어린이(만8세~만15세 미만): 1회 1캡슐,"기밀용기, 실온(1～30℃)보관 "
346,"풀시드에프연질캡슐(수출명: HEPAHEL, LevaB, LEVABITE, GANEURONE, LIVERENCE)",콜마파마(주),일반의약품," 티아민염산염, 리보플라빈, 판토텐산칼슘, 피리독신염산염, 니코틴산아미드, 0.1%시아노코발라민, 카르두스마리아누스엑스","다음 질환의 보조 치료 : 만성 간질환, 독성 간질환","성인 : 1회 1캡슐, 1일 3회 복용한다.치료 후 복용량을 1일 12캡슐로 줄인다.","차광기밀용기, 실온(1∼30℃)보관"
347,"풀시드연질캡슐(수출용)(수출명: CARDUSF Soft Cap., CAHYMO)",콜마파마(주),20031231," 티아민질산염, 시아노코발라민, 판토텐산칼슘, 피리독신염산염, 니코틴산아미드, 밀크시슬엑스","다음 질환의 치료보조 : 만성간질환, 지방간, 간경변, 중독성 간장질환","성인 1회 1캡슐을 1일 3회 복용한다.연령, 증상에 따라 적절히 증감한다.","차광기밀용기, 실온(1~30℃)보관"
348,로실액(테르비나핀염산염),콜마파마(주),일반의약품, 테르비나핀염산염,증상의 경감은 보통 23일 이내에 나타난다. 감염 재발을 방지하려면 이 약으로 적정기간 동안 정기적으로 치료한다.,"(액제)적응증에 따라 1일 1회 또는 2회 적용한다. 적용전에 환부를 깨끗이 씻고, 완전히 건조시킨 후 환부와 그 주위가 충분히 적셔지도록 충분한 양을 바른다.·치료기간 :1. 족부백선, 고부백선(완선), 체부백선 : 1일 1회, 1주2. 어루러기 : 1일 2회, 1주증상의 경감은 보통 23일 이내에 나타난다. 감염 재발을 방지하려면 이 약으로 적정기간 동안 정기적으로 치료한다.치료기간 이후에도 임상적인 증상이 개선되지 않으면 진단을 다시 해야 한다.(크림제)1일 12회 환부에 바른다.질환에 따른 치료기간은 다음과 같다.1. 족부백선 : 14주지간형 족부백선 : 1일 2회 1주2. 체부백선, 고부백선(완선) : 12주3. 피부칸디다증 : 12주4. 어루러기 : 2주치료기간 이후에도 임상적인 증상이 개선되지 않으면 진단을 다시 해야 한다.","기밀용기,실온(1~30℃)보관 "
349,애니락정(아세클로페낙),콜마파마(주),한국콜마(주), 아세클로페낙,"류마티스관절염, 강직척추염, 골관절염(퇴행관절염) 및 견갑상완골의 관절주위염, 치통, 외상 후 생기는 염증, 요통, 좌골통, 비관절성 류머티즘으로 인한 통증", 성인 : 아세클로페낙으로서 1회 100 mg을 12시간마다 1일 2회 복용한다. 간장애 환자 : 초기 용량으로 1일 100 mg을 투여한다.이 약은 씹거나 부수지 말고 그대로 복용한다.증상에 따라 적절히 증감한다.이 약의 심혈관계 이상반응을 최소화하기 위해 최저 유효 용량으로 최단 기간 동안 투여해야 한다.,DUR성분(성분1/성분2..병용성분)케토롤락아세클로페낙
